Time (s),Temperature (C)
24.25,-1.84698370957176
24.3,-1.8475290478234
24.35,-1.8480503500943
24.4,-1.84857207631086
24.45,-1.84909427764705
24.5,-1.84961696458237
24.55,-1.85016487569686
24.6,-1.85068865663447
24.65,-1.8512128787645
24.7,-1.85176239406871
24.75,-1.85228770392803
24.8,-1.85283830678895
24.85,-1.8533646490414
24.9,-1.8538914215282
24.95,-1.8544685128021
25,-1.85497150436117
25.05,-1.8555247041898
25.1,-1.85607855773628
25.15,-1.85658291282402
25.2,-1.85713766633393
25.25,-1.85766801217432
25.3,-1.85822388353745
25.35,-1.85875525127426
25.4,-1.85931219024701
25.45,-1.8598193972694
25.5,-1.86037728668549
25.55,-1.8609106334319
25.6,-1.86146965363383
25.65,-1.86200403236097
25.7,-1.86253884151807
25.75,-1.86307413015334
25.8,-1.86360990678662
25.85,-1.86414617952647
25.9,-1.86470832890069
25.95,-1.86524571521784
26,-1.86580897028324
26.05,-1.86632193381246
26.1,-1.8668861629036
26.15,-1.86742557572592
26.2,-1.86796543306025
26.25,-1.86853132706545
26.3,-1.8690467034786
26.35,-1.86961359119988
26.4,-1.87015554366707
26.45,-1.87067229193337
26.5,-1.87126640059535
26.55,-1.87175856079131
26.6,-1.87232804441874
26.65,-1.87287253396119
26.7,-1.87341748901741
26.75,-1.87396295392602
26.8,-1.87450892883396
26.85,-1.87505541651365
26.9,-1.87560242086704
26.95,-1.87614994365737
27,-1.8767238929774
27.05,-1.87727256355078
27.1,-1.87782169029134
27.15,-1.87837131734454
27.2,-1.87889542999699
27.25,-1.8794719956195
27.3,-1.87999715339379
27.35,-1.88054874313826
27.4,-1.88112700979241
27.45,-1.88165367347204
27.5,-1.88223299487805
27.55,-1.88276065688598
27.6,-1.88331487508026
27.65,-1.88386966844388
27.7,-1.88445124785318
27.75,-1.88495461859759
27.8,-1.88556343393407
27.85,-1.88606782566575
27.9,-1.88662512641008
27.95,-1.88718305905911
28,-1.88771512581172
28.05,-1.88830046767276
28.1,-1.88880715440837
28.15,-1.88939354027434
28.2,-1.88992770872812
28.25,-1.89048878768295
28.3,-1.89105046953091
28.35,-1.89155951021809
28.4,-1.89214868980719
28.45,-1.89265875897115
28.5,-1.89322243119705
28.55,-1.89378678525304
28.6,-1.89435172636462
28.65,-1.89489049387606
28.7,-1.89545646549237
28.75,-1.89602306240573
28.8,-1.89653656787425
28.85,-1.89713092183672
28.9,-1.89764547698502
28.95,-1.89821411107636
29,-1.89878343480086
29.05,-1.89927244316226
29.1,-1.89986958184437
29.15,-1.90038661154762
29.2,-1.90098502633293
29.25,-1.90150311596159
29.3,-1.90204858678925
29.35,-1.90264883784846
29.4,-1.90314131067123
29.45,-1.90371548058374
29.5,-1.9042632276537
29.55,-1.90481146315784
29.6,-1.90538748293528
29.65,-1.90590961589567
29.7,-1.90645941301898
29.75,-1.90700980491869
29.8,-1.90756075502247
29.85,-1.90813964808132
29.9,-1.90866440020471
29.95,-1.90924440658819
30,-1.90974271358681
30.05,-1.91032378230028
30.1,-1.9108781480341
30.15,-1.91140546953744
30.2,-1.91196081254583
30.25,-1.9125167863956
30.3,-1.91304569584577
30.35,-1.91363038877034
30.4,-1.91413275239393
30.45,-1.91471857788855
30.5,-1.91522196095525
30.55,-1.91580898821013
30.6,-1.91634124882103
30.65,-1.91687392286582
30.7,-1.91743498797814
30.75,-1.9179967285786
30.8,-1.91850320140446
30.85,-1.91909390148697
30.9,-1.91960149682114
30.95,-1.92016545128104
31,-1.9207020880379
31.05,-1.92121112441464
31.1,-1.92180490162491
31.15,-1.92231517004285
31.2,-1.92285394334993
31.25,-1.92342152832771
31.3,-1.92393335771368
31.35,-1.92450210661048
31.4,-1.92504334061499
31.45,-1.92558510409634
31.5,-1.92612744427458
31.55,-1.92667036815578
31.6,-1.9271854484474
31.65,-1.92775788303226
31.7,-1.92824564505463
31.75,-1.92881924533907
31.8,-1.92933661889538
31.85,-1.92988300340079
31.9,-1.93040144554249
31.95,-1.93094902182418
32,-1.93146860631987
32.05,-1.93201739843136
32.1,-1.93253814682276
32.15,-1.93308817932859
32.2,-1.93363892206725
32.25,-1.93413261942362
32.3,-1.93468444543282
32.35,-1.93520813534695
32.4,-1.9357323544948
32.45,-1.93628612774489
32.5,-1.93681163549047
32.55,-1.9373376791811
32.6,-1.93783522336491
32.65,-1.93839144440841
32.7,-1.93877341493743
32.75,-1.93973755462315
32.8,-1.93976747164544
32.85,-1.94070703404253
32.9,-1.94097472436363
32.95,-1.94159475782783
33,-1.94206888023393
33.05,-1.94260202115146
33.1,-1.94310628889554
33.15,-1.94364046182886
33.2,-1.94414569848686
33.25,-1.94465136428016
33.3,-1.94518711797605
33.35,-1.94566426440326
33.4,-1.94623072813988
33.45,-1.94673872424403
33.5,-1.94721743255332
33.55,-1.94778583495707
33.6,-1.94823595433172
33.65,-1.94877582041221
33.7,-1.94928666598759
33.75,-1.94979807754032
33.8,-1.95031010366989
33.85,-1.95082275512959
33.9,-1.95130600969128
